
28,118000.00,16.69
285464,118000.00,16.69
286466,116419.75,16.98
tiempo_ms,R_NTC_Ohm,T_celsius
0,118000.00,16.69
1001,116419.75,16.98
2002,114878.05,17.26
3004,114878.05,17.26
4005,116419.75,16.98
5008,113373.50,17.54
6009,114878.05,17.26
7011,113373.50,17.54
8012,111904.77,17.82
9014,111904.77,17.82
10015,111904.77,17.82
11017,110470.59,18.10
12018,109069.77,18.37
13020,110470.59,18.10
14022,107701.15,18.65
15024,107701.15,18.65
16025,106363.64,18.92
17027,107701.15,18.65
18028,106363.64,18.92
19030,105056.18,19.18
20032,105056.18,19.18
21033,103777.78,19.45
22035,103777.78,19.45
23036,102527.47,19.71
24038,101304.35,19.97
25039,100107.53,20.23
26041,101304.35,19.97
27043,100107.53,20.23
28045,98936.17,20.49
29046,98936.17,20.49
30048,97789.48,20.74
31049,97789.48,20.74
32051,95567.01,21.25
33052,96666.67,21.00
34054,95567.01,21.25
35055,95567.01,21.25
36058,94489.80,21.50
37059,93434.35,21.74
38061,92400.00,21.99
39062,92400.00,21.99
40064,91386.14,22.23
41065,91386.14,22.23
42066,89417.48,22.71
43068,89417.48,22.71
44069,89417.48,22.71
45071,88461.54,22.95
46073,87523.82,23.19
47075,86603.78,23.42
48076,85700.94,23.66
49078,85700.94,23.66
50079,85700.94,23.66
51081,83944.96,24.12
52082,83090.91,24.35
53084,83090.91,24.35
54086,81428.57,24.80
55088,81428.57,24.80
56089,79824.57,25.25
57091,79824.57,25.25
58092,78275.86,25.69
59094,79043.48,25.47
60095,77521.37,25.91
61096,76779.67,26.13
62098,76779.67,26.13
63100,76050.42,26.35
64102,75333.34,26.56
65103,74628.10,26.77
66105,73934.43,26.99
67106,73252.03,27.20
68108,72580.65,27.41
69109,72580.65,27.41
70111,71269.85,27.83
71112,70629.92,28.03
72115,70629.92,28.03
73116,70000.00,28.24
74118,69379.85,28.44
75119,68167.94,28.85
76121,68167.94,28.85
77122,66992.49,29.25
78124,66992.49,29.25
